City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Tuktoyaktuk,CA,69.45,-133.04,51.8,100,75,13.8,fog
259,Souillac,MU,-20.52,57.52,70.18,83,20,3.44,few clouds
260,Carauari,BR,-4.88,-66.90,93.42,43,11,3.87,few clouds
261,Xining,CN,36.62,101.77,67.84,77,98,1.7,overcast clouds
262,Salima,MW,-13.78,34.46,75.31,41,0,0.69,clear sky
263,Priladozhskiy,RU,59.85,31.48,81.54,99,36,5.37,scattered clouds
264,Kavaratti,IN,10.57,72.64,81.7,78,86,8.61,overcast clouds
265,Maceio,BR,-9.67,-35.74,78.24,73,75,18.41,broken clouds
266,Egvekinot,RU,66.32,-179.17,37.0,68,8,2.21,clear sky
267,Pravia,ES,43.49,-6.15,68.29,73,40,14.97,scattered clouds
268,Nador,MA,35.17,-2.93,87.87,42,0,16.11,clear sky
269,Pangnirtung,CA,66.15,-65.71,48.2,76,20,8.05,few clouds
270,Ngunguru,NZ,-35.62,174.50,61.47,95,100,27.56,moderate rain
271,Xai-Xai,MZ,-25.05,33.64,74.82,29,1,8.72,clear sky
272,Oyama,JP,36.30,139.80,72.97,92,100,4.65,overcast clouds
273,Villaviciosa,ES,43.48,-5.44,71.22,88,52,9.17,broken clouds
274,Prince Rupert,CA,54.32,-130.32,66.29,82,100,8.05,overcast clouds
275,Nkawkaw,GH,6.55,-0.77,88.95,38,10,3.91,clear sky
276,Kanigoro,ID,-8.13,112.22,71.85,90,77,6.85,broken clouds
277,Kudymkar,RU,59.02,54.66,56.39,89,100,3.4,overcast clouds
278,Korla,CN,41.76,86.15,67.69,64,4,11.03,clear sky
279,Wajima,JP,37.40,136.90,75.38,95,100,14.76,heavy intensity rain
280,Gull Lake,CA,50.10,-108.48,76.28,41,25,12.8,scattered clouds
281,Exu,BR,-7.51,-39.72,85.96,35,31,11.59,scattered clouds
282,Hobyo,SO,5.35,48.53,77.02,80,31,27.36,scattered clouds
283,El Alto,PE,-4.27,-81.21,65.86,70,96,8.3,overcast clouds
284,Shingu,JP,33.73,135.98,79.61,90,100,7.36,overcast clouds
285,Kahului,US,20.89,-156.47,75.85,73,0,1.01,clear sky
286,Port Blair,IN,11.67,92.75,80.64,83,75,5.75,mist
287,Mikhaylovka,RU,50.06,43.24,90.79,23,81,24.23,broken clouds
288,Half Moon Bay,US,37.46,-122.43,77.54,80,20,11.5,few clouds
289,Nantucket,US,41.28,-70.10,73.54,60,100,17.27,overcast clouds
290,Tortoli,IT,39.93,9.66,85.82,79,40,10.36,mist
291,Tahoua,NE,14.89,5.27,84.18,65,75,4.61,broken clouds
292,Waycross,US,31.21,-82.35,88.03,74,0,0.0,clear sky
293,Itarema,BR,-2.92,-39.92,88.95,45,34,18.05,scattered clouds
294,Shubarshi,KZ,48.59,57.19,79.77,18,7,0.54,clear sky
295,Ilulissat,GL,69.22,-51.10,36.19,97,100,6.76,overcast clouds
296,Saint-Pierre,RE,-21.34,55.48,71.28,74,0,10.36,clear sky
297,Ghanzi,BW,-21.57,21.78,75.07,9,18,6.85,few clouds
298,Longyearbyen,SJ,78.22,15.64,46.24,81,75,5.75,moderate rain
299,Pathein,MM,16.78,94.73,76.75,91,100,12.77,overcast clouds
300,Los Andes,CL,-32.83,-70.60,47.01,67,13,1.86,few clouds
301,Mackay,AU,-21.15,149.20,48.69,53,0,8.16,clear sky
302,San Patricio,US,28.02,-97.52,92.88,62,100,7.11,overcast clouds
303,Hofn,IS,64.25,-15.21,48.22,87,100,10.36,light intensity drizzle rain
304,Masallatah,LY,32.62,14.00,95.77,34,2,13.09,clear sky
305,Brigantine,US,39.41,-74.36,79.03,57,0,9.22,clear sky
306,Alofi,NU,-19.06,-169.92,69.69,68,94,16.11,overcast clouds
307,Tamiahua,MX,21.27,-97.45,85.98,65,30,3.91,scattered clouds
308,Gali,GE,42.63,41.74,77.29,89,0,1.97,clear sky
